-0.87145,-0.64557,-0.41296,-0.31719,0.8383,1.2935,1.2966
-0.36505,-0.7508,-0.2743,-0.23353,0.8383,0.39242,0.042894
0.27921,0.71913,0.50081,0.032421,0.51079,-1.1249,-0.86926
-0.42413,-0.67172,0.088196,-0.059363,0.75864,0.36335,1.0637
0.4677,1.2931,-0.40962,-0.30877,-0.24604,-1.1162,-0.80133
-0.15123,-0.7221,-0.29435,-0.25027,0.24081,0.13081,-0.54903
-0.65201,-0.62007,-0.41129,-0.30556,0.79404,0.68019,2.5212
2.1782,-0.10989,-0.39625,-0.2609,0.023936,-0.44765,-0.52186
0.79968,0.46405,-0.37453,-0.27154,-0.0070453,-0.24708,-0.56456
-0.57886,-0.30121,-0.31106,-0.26691,-0.84354,-0.96797,-0.35108
-0.54791,-0.79863,-0.23421,-0.22855,0.79404,-0.037789,0.062302
-0.75329,-0.66471,-0.23588,-0.24761,0.8383,0.46218,0.79396
0.72653,2.2496,-0.20247,-0.24451,-1.7774,-0.93599,-0.83238
-0.82925,-0.17367,-0.39291,-0.24377,0.8383,0.343,0.28355
-0.64919,-0.54737,-0.27597,-0.2548,0.74536,0.74414,0.57272
1.1654,2.8874,-0.35449,-0.25101,-2.22,-0.80228,-0.8906
-0.25251,0.91045,4.7339,4.5144,-0.97632,-0.6831,-0.72952
-0.080898,-0.77949,-0.23421,-0.25076,0.79404,-0.44474,-0.30644
-0.78986,-0.65833,-0.41129,-0.31433,0.8383,0.098831,-0.1473
4.91,2.1221,-0.1841,-0.206,-2.667,-0.5552,-1.1157
-0.56198,-0.55629,-0.34781,-0.28877,0.8383,-0.14243,-0.19
-0.049951,-0.71827,-0.14066,-0.20383,0.35145,-0.14243,-0.25598
0.23138,1.5482,-0.17574,-0.15031,-0.11327,-1.0726,-0.64413
-0.35942,-0.60093,0.0096821,0.054186,0.81617,0.98541,-0.66354
-0.53385,-0.61369,-0.20915,-0.20566,0.74978,-1.0901,1.4364
0.51834,2.8874,-0.32442,-0.17148,-1.8217,0.18604,-0.5665
-0.34254,-0.56905,1.3244,0.078166,-0.97189,-0.78193,-0.52574
0.53522,1.6757,0.17339,-0.086248,-1.2286,-1.154,-0.82074
0.76592,-0.10989,-0.38456,-0.30364,-1.3083,-0.44474,-0.74893
-0.95585,-0.62007,0.16337,-0.079157,0.8383,1.4883,0.36506
-0.77861,-0.74761,-0.39959,-0.30985,0.8383,1.2441,1.285
0.59712,0.59159,-0.39792,-0.27765,-1.8217,-0.87495,-0.94689
-0.85175,-0.59073,-0.39625,-0.14982,0.8383,-0.44474,0.93564
0.12166,0.84668,-0.38957,-0.27696,-0.61339,-0.11627,-0.6189
0.68152,-0.49252,-0.25426,-0.24874,0.6834,-0.17441,-0.33555
0.76029,-0.30504,-0.24758,-0.2647,-1.0471,-0.40405,-0.82268
0.054143,0.20896,0.038081,-0.11978,0.063769,2.2702,-0.16477
0.70965,-0.69149,-0.28433,-0.25677,0.41784,-0.53776,-0.55874
-0.51134,0.3365,4.4365,5.0103,-1.3083,0.075577,-0.48111
-0.19625,-0.55629,-0.31273,-0.25189,0.32932,-0.44474,-0.68877
-0.95304,-0.49954,-0.38623,-0.23426,0.8383,-0.029068,1.4208
-0.82643,-0.70616,-0.19245,-0.20398,0.8383,-0.037789,1.514
-0.56198,-0.23744,0.094878,0.19615,-1.1312,-0.23836,-0.94495
-0.14279,0.27273,-0.13398,-0.1024,-0.2549,-1.0174,-0.43647
-0.74203,-0.59775,-0.052127,-0.1864,0.8383,0.14243,1.0501
-0.67733,-0.69659,-0.38122,-0.29857,0.81617,4.5695,3.7439
-0.43538,-0.82541,-0.39792,-0.30153,0.6834,0.37207,-0.092958
-0.46914,-0.68511,-0.052127,-0.13943,0.8383,0.3401,0.54167
1.3933,-0.15007,-0.29268,-0.25839,-0.11327,0.32847,-0.74311
